#,الوجهة,امكانية الحجز والاقامة,المدن / الليالي,الفنادق الرئيسية,الأيام,الجولات,الطيران الداخلي ,سعر البيع النهائي ,يشمل,لا يشمل,الملفات
1,ماليزيا ,مايو - اغسطس,كوالالمبور 7,Royal Signature 5★,7 ليالي 8 أيام,3 جولات + يومين حر + جنتنج,❌ لا يوجد,"4,599",فنادق + إفطار + سيارة خاصة + شريحة + استقبال,طيران دولي + دخول أماكن + ضريبة مدينة,
2,إندونيسيا,مايو - اغسطس,بونشاك 7,Pesona Alam 4★,7 ليالي 8 أيام,4 جولات + يومين حر,❌ لا يوجد,"3,849",فنادق + إفطار + سيارة خاصة + شريحة,طيران دولي + دخول أماكن + ضريبة مدينة,
3,إندونيسيا,مايو - اغسطس,بالي 7,Ramada Encore 4★,7 ليالي 8 أيام,4 جولات + يومين حر,❌ لا يوجد,"2,899",فنادق + إفطار + سيارة خاصة + شريحة,طيران دولي + دخول أماكن,
4,إسطنبول,مايو - اغسطس,,,,,❌ لا يوجد,,,,
5,موسكو,مايو - اغسطس,,,,,❌ لا يوجد,,,,
6,دبي,مايو - اغسطس,,,,,❌ لا يوجد,,,,
4,تايلاند ,مايو - اغسطس,فوكيت 7,Marina Gallery 4-5★,7 ليالي 8 أيام,4 جولات + يومين حر,❌ لا يوجد,"4,099",فنادق + إفطار + سيارة + جولات + شريحة مفتوحة,طيران دولي + دخول أماكن,
9,القاهرة,ابريل ومايو,,,,,❌ لا يوجد,,,,
5,تايلاند ,مايو - اغسطس,بانكوك 7,Solitaire 4★,7 ليالي 8 أيام,4 جولات + يومين حر,❌ لا يوجد,"3,859",فنادق + إفطار + سيارة + شريحة,طيران دولي + الرحلات البحرية,
6,فيتنام,مايو - اغسطس,هانوي 2 + سابا 2 + هانوي 3,Oriental Suites + Freesia + Church Boutique,7 ليالي 8 أيام,4 جولات,❌ لا يوجد,"4,099",فنادق + إفطار + سيارة + شريحة,طيران دولي + دخول أماكن,
,ملاحظات : جميع الاسعار شاملة رسوم تابي وتمارا,,,,,,,,,,
