#,الوجهة,امكانية الحجز والاقامة,المدن / الليالي,الفنادق الرئيسية,الأيام,الجولات,الطيران الداخلي ,سعر البيع النهائي ,يشمل,لا يشمل,الملفات
1,إندونيسيا ,مايو - اغسطس,1 جاكرتا – 7 بالي – 1 جاكرتا,ميرلين بارك جاكرتا / فيرفيلد ماريوت بالي / رامادا إنكور سمنياك / نوفوتيل سيكيني,9 ليالي 10 أيام,4 جولات (شمال بالي – جبل باتور – أوبود – نوسا بينيدا),جاكرتا → بالي، 20 كجم + 7 كجم,"5,999",فنادق + إفطار + طيران داخلي (20 كجم) + استقبال وتوديع + سيارة خاصة + 4 جولات + شريحة إنترنت + استقبال VIP,الطيران الدولي + الغداء والعشاء + رسوم دخول المواقع,
2,تايلاند,مايو - اغسطس,2 بانكوك – 7 فوكيت – 1 بانكوك,Le Meridien Bangkok / Sawaddi Patong / Marina Phuket / Solitaire Bangkok,9 ليالي 10 أيام,3 جولات + يوم حر (فوكيت + جولة بحرية اختيارية + بانكوك),بانكوك → فوكيت، 20 كجم + 7 كجم,"6,099",فنادق + إفطار + استقبال وتوديع + سيارة خاصة + طيران داخلي (20kg) + شريحة اتصال + ضرائب,الطيران الدولي + الغداء والعشاء + تذاكر دخول + الرحلات البحرية,
3,ماليزيا ,مايو - اغسطس,2 سيلانجور – 4 لنكاوي – 3 كوالالمبور,صنواي لاجون / باي فيو لنكاوي / بيردانا كوالالمبور,9 ليالي 10 أيام,4 جولات (لنكاوي + كوالالمبور) + يومين حر,كوالالمبور → لنكاوي (أو العكس)، 20 كجم + 7 كجم,"6,899",فنادق + إفطار + طيران داخلي + استقبال وتوديع + سيارة خاصة + شريحة اتصال + ضرائب,الطيران الدولي + الغداء والعشاء + تذاكر دخول + ضريبة مدينة (10 رنجت/ليلة),
4,إسطنبول,مايو - اغسطس,,,,,,,,,
5,موسكو,مايو - اغسطس,,,,,,,,,
6,دبي,مايو - اغسطس,,,,,,,,,
4,"فيتنام  ""الباقة المتوسطة""",مايو - اغسطس,2 هانوي + 3 دانانغ + 2 هواي ان + 2 هانوي,"هانوي: Oriental Suites + Hanoi Pearl
دانانغ: Fivitel Da Nang
هواي ان: Hoi An Garden Palace",9 ليالي 10 أيام,4 جولات + يوم حر,هانوي ✈ دانانغ ✈ هانوي (20 كجم + 7 كجم),"5,899","✔ فنادق 4★ + إفطار
✔ الطيران الداخلي
✔ استقبال وتوديع
✔ سيارة مع سائق خاص
✔ تأشيرة لشخصين
✔ شريحتي اتصال + إنترنت
✔ ضرائب","✖ الطيران الدولي
✖ الغداء والعشاء
✖ تذاكر دخول الأماكن",
9,القاهرة,ابريل ومايو,,,,,,,,,
5,"فيتنام ""عرض مميز (جزيرة)""",مايو - اغسطس,2 هانوي + 5 فوكوك + 2 هانوي,"هانوي: Oriental Suites + Hanoi Media Hotel
فوكوك: Radisson Blu Resort 5★",10 أيام / 9 ليالي,4 جولات + يوم حر,هانوي ✈ فوكوك ✈ هانوي (20 كجم + 7 كجم),"7,699","✔ فنادق + إفطار
✔ الطيران الداخلي
✔ استقبال وتوديع
✔ سيارة مع سائق خاص
✔ تأشيرة لشخصين
✔ شريحتي اتصال + إنترنت
✔ ضرائب","✖ الطيران الدولي
✖ الغداء والعشاء
✖ رسوم الدخول",
,روسيا ,June-Aug,موسكو,Sadu Hotel,٧ أيام / ٦ ليالي,٤ جولات + يوم حر ,لايوجد,,"فنادق + إفطار ✔
استقبال وتوديع ✔
سيارة مع سائق خاص ✔
خدمة عملاء ✔","الطيران الدولي ✖
الغداء والعشاء ✖
رسوم الدخول ✖",
